week,category,weekly_rank,Movie Name,season_title,weekly_hours_viewed,Duration,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
2023-07-23,Films (English),1,The Out-Laws,,19500000,1.6167,12100000.0,3,False,
2023-07-23,Films (English),2,Unknown: Cave of Bones,,10300000,1.5833,6500000.0,1,False,
2023-07-23,Films (English),3,They Cloned Tyrone,,13100000,2.0667,6300000.0,1,False,
2023-07-23,Films (English),4,Puss in Boots: The Last Wish,,10600000,1.7,6200000.0,2,False,
2023-07-23,Films (English),5,The Deepest Breath,,8400000,1.8333,4600000.0,1,False,
2023-07-23,Films (English),6,Ride Along,,7100000,1.65,4300000.0,1,False,
2023-07-23,Films (English),7,Man on Fire,,9400000,2.4333,3900000.0,4,False,
2023-07-23,Films (English),8,Extraction 2,,7800000,2.0667,3800000.0,6,False,
2023-07-23,Films (English),9,Nimona,,5900000,1.7167,3400000.0,4,False,
2023-07-23,Films (English),10,Captain Underpants: The First Epic Movie,,4600000,1.4833,3100000.0,1,False,
2023-07-16,Films (English),1,The Out-Laws,,46300000,1.6167,28600000.0,2,False,
2023-07-16,Films (English),2,65,,10500000,1.55,6800000.0,1,False,
2023-07-16,Films (English),3,Puss in Boots: The Last Wish,,9400000,1.7,5500000.0,1,False,
2023-07-16,Films (English),4,Extraction 2,,10800000,2.0667,5200000.0,5,False,
2023-07-16,Films (English),5,Nimona,,8000000,1.7167,4700000.0,3,False,
2023-07-16,Films (English),6,Sing,,6500000,1.8,3600000.0,9,False,
2023-07-16,Films (English),7,The Tutor,,5000000,1.55,3200000.0,1,False,
2023-07-16,Films (English),8,Paw Patrol: The Movie,,4400000,1.4333,3100000.0,7,False,
2023-07-16,Films (English),9,Mafia Mamma,,4700000,1.6833,2800000.0,1,False,
2023-07-16,Films (English),10,Unknown: Killer Robots,,3200000,1.1667,2700000.0,1,False,
2023-07-09,Films (English),1,The Out-Laws,,31700000,1.6167,19600000.0,1,False,
2023-07-09,Films (English),2,Extraction 2,,18400000,2.0667,8900000.0,4,False,
2023-07-09,Films (English),3,Nimona,,11500000,1.7167,6700000.0,2,False,
2023-07-09,Films (English),4,Run Rabbit Run,,9900000,1.6833,5900000.0,2,False,
2023-07-09,Films (English),5,Unknown: The Lost Pyramid,,7900000,1.4,5600000.0,1,False,
2023-07-09,Films (English),6,Sniper: Assassin's End,,8500000,1.5833,5400000.0,2,False,
2023-07-09,Films (English),7,Old Henry,,8100000,1.65,4900000.0,1,False,
2023-07-09,Films (English),8,WHAM!,,6800000,1.5333,4400000.0,1,False,
2023-07-09,Films (English),9,Skyscraper,,7500000,1.7,4400000.0,1,False,
2023-07-09,Films (English),10,Woody Woodpecker,,6300000,1.5167,4200000.0,1,False,
2023-07-02,Films (English),1,Extraction 2,,36200000,2.0667,17500000.0,3,False,
2023-07-02,Films (English),2,The Perfect Find,,18400000,1.6667,11000000.0,2,False,
2023-07-02,Films (English),3,Run Rabbit Run,,14200000,1.6833,8400000.0,1,False,
2023-07-02,Films (English),4,Extraction,,11800000,1.9667,6000000.0,3,False,
2023-07-02,Films (English),5,Take Care of Maya,,7900000,1.7333,4600000.0,2,False,
2023-07-02,Films (English),6,Paw Patrol: The Movie,,6400000,1.4333,4500000.0,6,False,
2023-07-02,Films (English),7,Sniper: Assassin's End,,5400000,1.5833,3400000.0,1,False,
2023-07-02,Films (English),8,Ghosts of the Abyss,,4900000,1.4667,3300000.0,1,False,
2023-07-02,Films (English),9,Nimona,,5500000,1.7167,3200000.0,1,False,
2023-07-02,Films (English),10,Roald Dahl's Matilda The Musical,,4900000,2.0333,2400000.0,6,False,
2023-06-25,Films (English),1,Extraction 2,,87300000,2.0667,42200000.0,2,False,
2023-06-25,Films (English),2,Extraction,,27200000,1.9667,13800000.0,2,False,
2023-06-25,Films (English),3,Take Care of Maya,,16000000,1.7333,9200000.0,1,False,
2023-06-25,Films (English),4,The Perfect Find,,11700000,1.6667,7000000.0,1,False,
2023-06-25,Films (English),5,Paw Patrol: The Movie,,9100000,1.4333,6300000.0,5,False,
2023-06-25,Films (English),6,The Mule,,9200000,1.7,5400000.0,1,False,
2023-06-25,Films (English),7,What Happens in Vegas,,7600000,1.65,4600000.0,2,False,
2023-06-25,Films (English),8,The Boss Baby,,4500000,1.6333,2800000.0,9,False,
2023-06-25,Films (English),9,Get Out,,4100000,1.7333,2400000.0,1,False,
2023-06-25,Films (English),10,47 Ronin,,4700000,2.0167,2300000.0,1,False,
2023-06-18,Films (English),1,Extraction 2,,88400000,2.0667,42800000.0,1,False,
2023-06-18,Films (English),2,Extraction,,18800000,1.9667,9600000.0,1,False,
2023-06-18,Films (English),3,Paw Patrol: The Movie,,9400000,1.4333,6600000.0,4,False,
2023-06-18,Films (English),4,The Boss Baby,,5800000,1.6333,3600000.0,8,False,
2023-06-18,Films (English),5,Assassin's Creed,,5400000,1.9167,2800000.0,1,False,
2023-06-18,Films (English),6,The Mother,,5400000,1.95,2800000.0,6,False,
2023-06-18,Films (English),7,The Angry Birds Movie,,4300000,1.6333,2600000.0,2,False,
2023-06-18,Films (English),8,Abduction,,4000000,1.7667,2300000.0,2,False,
2023-06-18,Films (English),9,Shooter,,4700000,2.0833,2300000.0,4,False,
2023-06-18,Films (English),10,Prisoners,,5100000,2.55,2000000.0,3,False,
2023-06-11,Films (English),1,Prisoners,,13890000,,,2,False,
2023-06-11,Films (English),2,Shooter,,12770000,,,3,False,
2023-06-11,Films (English),3,Abduction,,9570000,,,1,False,
2023-06-11,Films (English),4,The Mother,,8360000,,,5,False,
2023-06-11,Films (English),5,The Boss Baby,,8320000,,,7,False,
2023-06-11,Films (English),6,We're the Millers,,7720000,,,2,False,
2023-06-11,Films (English),7,The Angry Birds Movie,,5720000,,,1,False,
2023-06-11,Films (English),8,The Company Men,,5390000,,,1,False,
2023-06-11,Films (English),9,Grown Ups 2,,5230000,,,1,False,
2023-06-11,Films (English),10,The Choice,,4950000,,,2,False,
2023-06-04,Films (English),1,The Mother,,16480000,,,4,False,
2023-06-04,Films (English),2,The Boss Baby,,10580000,,,6,False,
2023-06-04,Films (English),3,Missing,,8080000,,,3,False,
2023-06-04,Films (English),4,2 Hearts,,7720000,,,2,False,
2023-06-04,Films (English),5,Shooter,,7480000,,,2,False,
2023-06-04,Films (English),6,We're the Millers,,6730000,,,1,False,
2023-06-04,Films (English),7,Dirty Grandpa,,5570000,,,1,False,
2023-06-04,Films (English),8,To Leslie,,5370000,,,1,False,
2023-06-04,Films (English),9,The Choice,,4260000,,,1,False,
