row_id,movie_name,rating,votes,meta_score,genre0,genre1,genre2,genre3,pr_rating,year,duration,cast0,cast1,cast2,cast3,cast4,director,number_rating,weekly_rank,weekly_hours_viewed,weekly_views,cumulative_weeks_in_top_10
161,Fair Play,6.4,30000.0,73.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,R,2023,1.883,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer,Chloe Domont,4.0,2.0,26900000.0,14000000.0,2.0
1949,American Made,7.1,203000.0,65.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2017,1.917,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons",Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons,Doug Liman,4.0,4.0,9300000.0,4900000.0,1.0
1500,Ma,5.6,59000.0,53.0,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,R,2019,1.65,"Octavia Spencer, Diana Silvers, Juliette Lewis, McKaley Miller",Octavia Spencer, Diana Silvers, Juliette Lewis, McKaley Miller,Tate Taylor,4.0,6.0,5800000.0,3500000.0,1.0
1590,Casper,6.2,145000.0,49.0,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,PG,1995,1.667,"Bill Pullman, Christina Ricci, Cathy Moriarty, Eric Idle",Bill Pullman, Christina Ricci, Cathy Moriarty, Eric Idle,Brad Silberling,2.0,7.0,5400000.0,3200000.0,1.0
509,The Lost City,6.1,148000.0,60.0,"Action, Adventure, Comedy",Action, Adventure, Comedy,PG-13,2022,1.867,"Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da''Vine Joy Randolph",Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph,Aaron NeeAdam Nee,3.0,9.0,5800000.0,3100000.0,1.0
300,Get Out,7.8,674000.0,85.0,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,R,2017,1.733,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener",Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener,Jordan Peele,4.0,10.0,5300000.0,3100000.0,2.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,1.0,45100000.0,19900000.0,2.0
161,Fair Play,6.4,30000.0,73.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,R,2023,1.883,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer,Chloe Domont,4.0,2.0,24200000.0,12600000.0,1.0
1529,Infinite,5.5,59000.0,28.0,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,PG-13,2021,1.767,"Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O''Brien",Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O'Brien,Antoine Fuqua,3.0,5.0,8600000.0,4900000.0,1.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,1.0,40200000.0,17700000.0,1.0
